hours_before_forecast,mean_attention_weight
72,0.013359806
71,0.013342906
70,0.013262107
69,0.0130771
68,0.0129974475
67,0.012976662
66,0.013036118
65,0.013148012
64,0.013260894
63,0.01339034
62,0.013470884
61,0.013678855
60,0.01391554
59,0.0141315255
58,0.01431071
57,0.014442037
56,0.014497792
55,0.014503186
54,0.014510034
53,0.014441975
52,0.014374683
51,0.0141838305
50,0.014019868
49,0.01394115
48,0.01382074
47,0.01377245
46,0.013669671
45,0.013618663
44,0.013632396
43,0.013617364
42,0.013630415
41,0.013607985
40,0.013671275
39,0.013761186
38,0.013884678
37,0.013991387
36,0.014087036
35,0.014105487
34,0.014129794
33,0.014180666
32,0.014187788
31,0.014223284
30,0.014127211
29,0.014083715
28,0.014118589
27,0.014060125
26,0.014054451
25,0.013956146
24,0.013901347
23,0.01387752
22,0.013842632
21,0.013788114
20,0.013741027
19,0.013746125
18,0.013780798
17,0.013857558
16,0.013914224
15,0.013985741
14,0.014011762
13,0.014019469
12,0.014071774
11,0.014108625
10,0.014141065
9,0.014104461
8,0.014069896
7,0.014144681
6,0.014170766
5,0.014193428
4,0.014141939
3,0.014095319
2,0.014046128
1,0.013979686
