horizon_h,Persistence_MAE,Persistence_RMSE,SeasonalNaive_MAE,SeasonalNaive_RMSE,LSTM_MAE,LSTM_RMSE,GRU_MAE,GRU_RMSE,Seq2Seq_MAE,Seq2Seq_RMSE
1,0.6772278,0.96066594,2.5066347,3.2572427,0.6360178,0.85205567,0.5542327,0.7492868,0.780909,1.012587
2,1.232272,1.7069575,2.5067182,3.2572818,0.88203895,1.1711125,0.8371358,1.1138418,0.9532905,1.2506496
3,1.7453072,2.3884435,2.506845,3.2573514,1.1150621,1.4776784,1.082161,1.42407,1.1449149,1.4985905
4,2.2193406,3.0038302,2.5068767,3.2573643,1.297252,1.6897992,1.260802,1.6520154,1.3122922,1.7036675
5,2.6452875,3.5487466,2.5068593,3.2573576,1.4430666,1.8687449,1.4205593,1.8397536,1.4504964,1.872814
6,3.0234709,4.023582,2.506893,3.2573733,1.5408767,1.9797657,1.5322336,1.9772145,1.5655078,2.0113854
7,3.3550777,4.4296083,2.5069082,3.2573795,1.6218251,2.0847085,1.6181346,2.0831525,1.6631392,2.1260235
8,3.6335232,4.7684155,2.5070136,3.2574298,1.7199162,2.1868868,1.6774714,2.1506073,1.7466118,2.2242415
9,3.8629897,5.04088,2.5071356,3.2574875,1.8179877,2.3124878,1.7754018,2.2564597,1.8190706,2.309179
10,4.03719,5.245767,2.5072057,3.2575111,1.8664408,2.3699265,1.8023891,2.304045,1.8826268,2.382766
11,4.155032,5.381082,2.5072517,3.2575233,1.9127823,2.4278734,1.8510795,2.3535569,1.9370642,2.4472458
12,4.2220845,5.4451017,2.5072923,3.2575295,1.9610378,2.4771464,1.901373,2.4174142,1.9845229,2.5041773
13,4.2315984,5.4404893,2.5072904,3.2575295,1.995928,2.529481,1.9524815,2.4758224,2.0279431,2.5569391
14,4.189352,5.3711667,2.507415,3.2575636,2.03104,2.5770764,1.968195,2.5057263,2.069218,2.6064987
15,4.099214,5.2428513,2.507602,3.2576249,2.068141,2.6106482,2.0287478,2.571006,2.1092587,2.6546574
16,3.9632645,5.0625496,2.5077345,3.2576547,2.1067562,2.6637974,2.059263,2.6129086,2.1469302,2.7027524
17,3.790149,4.8352914,2.5077336,3.2576542,2.1247919,2.6835923,2.0780137,2.638479,2.182069,2.7488494
18,3.5882618,4.5696025,2.5076692,3.2576373,2.16248,2.7345726,2.1169574,2.6922307,2.21461,2.79105
19,3.3628602,4.275605,2.5076742,3.2576382,2.1919332,2.763939,2.1608233,2.7346525,2.241673,2.8275104
20,3.1250439,3.9688997,2.507627,3.2576318,2.2125752,2.7929032,2.1743405,2.7582083,2.2647936,2.8575501
21,2.888784,3.6730728,2.5075436,3.2576084,2.222344,2.8123195,2.21082,2.8026333,2.2846243,2.8824217
22,2.6837213,3.4279964,2.5074449,3.2575724,2.2271543,2.8209302,2.2056189,2.8008761,2.3030932,2.908086
23,2.53957,3.276195,2.50734,3.2575538,2.2681677,2.887471,2.240302,2.8426502,2.321935,2.9394183
24,2.5073178,3.2575488,2.5073178,3.2575488,2.279817,2.9009216,2.2875721,2.8964176,2.3547595,2.9860437
