model_A,model_B,median_MAE_A,median_MAE_B,W,p_raw,p_Holm,significant_0.05
Persistence,GRU,2.6924999,1.6035881,756.0,1.2302544087890685e-11,1.2302544087890684e-10,True
SeasonalNaive,GRU,2.3983333,1.6035881,889.0,1.8353529752578235e-10,1.6518176777320412e-09,True
Persistence,LSTM,2.6924999,1.6033945,918.0,3.239782215233195e-10,2.591825772186556e-09,True
Persistence,Seq2Seq,2.6924999,1.6164695,943.0,5.255946727661397e-10,3.679162709362978e-09,True
SeasonalNaive,LSTM,2.3983333,1.6033945,1078.0,6.508938363952367e-09,3.90536301837142e-08,True
SeasonalNaive,Seq2Seq,2.3983333,1.6164695,1425.0,1.9937217901819153e-06,9.968608950909576e-06,True
Persistence,SeasonalNaive,2.6924999,2.3983333,2189.0,0.014513468365849862,0.05756913854512071,False
GRU,Seq2Seq,1.6035881,1.6164695,2188.0,0.014392284636280178,0.05756913854512071,False
LSTM,Seq2Seq,1.6033945,1.6164695,2364.0,0.05546337198594507,0.11092674397189015,False
LSTM,GRU,1.6033945,1.6035881,2473.0,0.11280867335166943,0.11280867335166943,False
