train_fraction,train_windows,input_hours,model,val_MAE,val_RMSE,parameters,training_seconds,epochs_ran
0.25,12254,24,GRU,1.9462722539901733,2.53373646736145,16920,10.385515785999928,12
0.25,12254,24,Transformer,2.6824982166290283,3.426734209060669,35992,17.468303773000002,12
1.0,49016,24,GRU,1.8734506368637085,2.4455671310424805,16920,25.739306679999913,12
1.0,49016,24,Transformer,2.337768316268921,3.012099027633667,35992,26.873942822999993,12
0.25,12242,72,GRU,1.9029626846313477,2.4718353748321533,16920,12.095421670000064,12
0.25,12242,72,Transformer,3.4043102264404297,4.295759677886963,35992,14.57189771100002,7
1.0,48968,72,GRU,1.87926185131073,2.4266550540924072,16920,28.856445269000005,11
1.0,48968,72,Transformer,3.370835065841675,4.295202732086182,35992,19.901867638,5
0.25,12218,168,GRU,1.9366799592971802,2.5101237297058105,16920,16.244524609999985,12
0.25,12218,168,Transformer,3.6146981716156006,4.616566181182861,35992,18.15235064700005,5
1.0,48872,168,GRU,1.846297264099121,2.394523859024048,16920,37.275761192999994,10
1.0,48872,168,Transformer,3.6584579944610596,4.6329731941223145,35992,32.58441123699993,5
