class,vit_f1,resnet_f1,vit_minus_resnet_f1
Tomato___Late_blight,0.9795918367346939,0.8461538461538461,0.1334379905808477
Tomato___Early_blight,0.9583333333333334,0.8444444444444444,0.11388888888888893
Corn_(maize)___Northern_Leaf_Blight,0.9411764705882353,0.8888888888888888,0.05228758169934644
Potato___Late_blight,0.9583333333333334,0.9090909090909091,0.04924242424242431
Tomato___Tomato_mosaic_virus,1.0,0.96,0.040000000000000036
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9333333333333333,0.9019607843137255,0.03137254901960784
Apple___Apple_scab,0.9787234042553191,0.9565217391304348,0.022201665124884307
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9787234042553191,0.021276595744680882
Peach___Bacterial_spot,1.0,0.9787234042553191,0.021276595744680882
Orange___Haunglongbing_(Citrus_greening),1.0,0.9795918367346939,0.020408163265306145
Peach___healthy,1.0,0.9795918367346939,0.020408163265306145
Cherry_(including_sour)___Powdery_mildew,0.9787234042553191,0.9583333333333334,0.020390070921985748
Tomato___Septoria_leaf_spot,0.9333333333333333,0.9130434782608695,0.020289855072463836
Blueberry___healthy,1.0,1.0,0.0
Strawberry___healthy,1.0,1.0,0.0
Raspberry___healthy,1.0,1.0,0.0
Apple___Cedar_apple_rust,1.0,1.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,0.0
Grape___healthy,1.0,1.0,0.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,0.0
Cherry_(including_sour)___healthy,1.0,1.0,0.0
Corn_(maize)___Common_rust_,1.0,1.0,0.0
Corn_(maize)___healthy,1.0,1.0,0.0
Soybean___healthy,1.0,1.0,0.0
Squash___Powdery_mildew,1.0,1.0,0.0
"Pepper,_bell___healthy",1.0,1.0,0.0
Potato___Early_blight,0.9787234042553191,0.9795918367346939,-0.0008684324793747367
Tomato___Bacterial_spot,0.9411764705882353,0.9583333333333334,-0.01715686274509809
Grape___Esca_(Black_Measles),0.9795918367346939,1.0,-0.020408163265306145
Grape___Black_rot,0.9787234042553191,1.0,-0.021276595744680882
Strawberry___Leaf_scorch,0.9787234042553191,1.0,-0.021276595744680882
Tomato___Leaf_Mold,0.9361702127659575,0.9583333333333334,-0.022163120567375905
Apple___healthy,0.9230769230769231,0.96,-0.036923076923076836
Apple___Black_rot,0.9565217391304348,1.0,-0.04347826086956519
Potato___healthy,0.95,1.0,-0.050000000000000044
Tomato___Spider_mites Two-spotted_spider_mite,0.8888888888888888,0.96,-0.07111111111111112
Tomato___Target_Spot,0.851063829787234,0.9361702127659575,-0.08510638297872342
Tomato___healthy,0.8837209302325582,0.9795918367346939,-0.0958709065021357
