case,path,true,vit_pred,resnet_pred
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Apple___Apple_scab/97294a06-04ae-440f-b130-ddff2817c727___FREC_Scab 3372.JPG,Apple___Apple_scab,Apple___healthy,Apple___Apple_scab
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Apple___Black_rot/1021c460-93e4-48cd-9c84-c576b2c5117c___JR_FrgE.S 2983.JPG,Apple___Black_rot,Apple___healthy,Apple___Black_rot
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/648f5a4f-9fb5-486f-97ac-918c5804ab53___RS_GLSp 4370.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Grape___Black_rot/c70df019-6020-47a8-9b69-891a4f4d707b___FAM_B.Rot 3571.JPG,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Black_rot
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Potato___Early_blight/4a7c680d-9c18-4065-a6e0-70cd2d0a3207___RS_Early.B 8107.JPG,Potato___Early_blight,Potato___Late_blight,Potato___Early_blight
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Strawberry___Leaf_scorch/1d484d5d-3c15-4a46-9e81-752565989049___RS_L.Scorch 1506.JPG,Strawberry___Leaf_scorch,Tomato___Early_blight,Strawberry___Leaf_scorch
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Tomato___Early_blight/ac57ab70-6d8c-4065-8bab-3a88b5239aea___RS_Erly.B 7408.JPG,Tomato___Early_blight,Tomato___Bacterial_spot,Tomato___Early_blight
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Tomato___Leaf_Mold/2bba06e5-9c91-45f2-a841-7b30b0d53f23___Crnl_L.Mold 6603.JPG,Tomato___Leaf_Mold,Potato___healthy,Tomato___Leaf_Mold
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Tomato___Septoria_leaf_spot/f908f130-1a88-49da-9f6a-0cb7312da739___JR_Sept.L.S 2460.JPG,Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Tomato___Target_Spot/95db9df7-c0db-4694-8550-f328ee111116___Com.G_TgS_FL 8238.JPG,Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot
"ResNet correct, ViT wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Tomato___healthy/087e3b12-a80b-435f-8973-a3b07888f8b4___RS_HL 9847.JPG,Tomato___healthy,Tomato___Target_Spot,Tomato___healthy
"ViT correct, ResNet wrong",/kaggle/input/datasets/mohitsingh1804/plantvillage/PlantVillage/train/Apple___Apple_scab/321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,Apple___Apple_scab,Apple___Apple_scab,Apple___healthy
