,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9166666666666666,0.9565217391304348,24.0
Apple___Black_rot,1.0,1.0,1.0,24.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,24.0
Apple___healthy,0.9230769230769231,1.0,0.96,24.0
Blueberry___healthy,1.0,1.0,1.0,24.0
Cherry_(including_sour)___Powdery_mildew,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,24.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8518518518518519,0.9583333333333334,0.9019607843137255,24.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,24.0
Corn_(maize)___Northern_Leaf_Blight,0.9523809523809523,0.8333333333333334,0.8888888888888888,24.0
Corn_(maize)___healthy,1.0,1.0,1.0,24.0
Grape___Black_rot,1.0,1.0,1.0,24.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,24.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,24.0
Grape___healthy,1.0,1.0,1.0,24.0
Orange___Haunglongbing_(Citrus_greening),0.96,1.0,0.9795918367346939,24.0
Peach___Bacterial_spot,1.0,0.9583333333333334,0.9787234042553191,24.0
Peach___healthy,0.96,1.0,0.9795918367346939,24.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,24.0
"Pepper,_bell___healthy",1.0,1.0,1.0,24.0
Potato___Early_blight,0.96,1.0,0.9795918367346939,24.0
Potato___Late_blight,1.0,0.8333333333333334,0.9090909090909091,24.0
Potato___healthy,1.0,1.0,1.0,19.0
Raspberry___healthy,1.0,1.0,1.0,24.0
Soybean___healthy,1.0,1.0,1.0,24.0
Squash___Powdery_mildew,1.0,1.0,1.0,24.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,24.0
Strawberry___healthy,1.0,1.0,1.0,24.0
Tomato___Bacterial_spot,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Tomato___Early_blight,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
Tomato___Late_blight,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
Tomato___Leaf_Mold,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Tomato___Septoria_leaf_spot,0.9545454545454546,0.875,0.9130434782608695,24.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9230769230769231,1.0,0.96,24.0
Tomato___Target_Spot,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9583333333333334,0.9787234042553191,24.0
Tomato___Tomato_mosaic_virus,0.9230769230769231,1.0,0.96,24.0
Tomato___healthy,0.96,1.0,0.9795918367346939,24.0
accuracy,0.9691289966923925,0.9691289966923925,0.9691289966923925,0.9691289966923925
macro avg,0.9707896567793594,0.9692982456140351,0.9691339068025918,907.0
weighted avg,0.97062862952897,0.9691289966923925,0.9689637519338078,907.0
