,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9583333333333334,0.9787234042553191,24.0
Apple___Black_rot,1.0,0.9166666666666666,0.9565217391304348,24.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,24.0
Apple___healthy,0.8571428571428571,1.0,0.9230769230769231,24.0
Blueberry___healthy,1.0,1.0,1.0,24.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9583333333333334,0.9787234042553191,24.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,24.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1.0,0.875,0.9333333333333333,24.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,24.0
Corn_(maize)___Northern_Leaf_Blight,0.8888888888888888,1.0,0.9411764705882353,24.0
Corn_(maize)___healthy,1.0,1.0,1.0,24.0
Grape___Black_rot,1.0,0.9583333333333334,0.9787234042553191,24.0
Grape___Esca_(Black_Measles),0.96,1.0,0.9795918367346939,24.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,24.0
Grape___healthy,1.0,1.0,1.0,24.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,24.0
Peach___Bacterial_spot,1.0,1.0,1.0,24.0
Peach___healthy,1.0,1.0,1.0,24.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,24.0
"Pepper,_bell___healthy",1.0,1.0,1.0,24.0
Potato___Early_blight,1.0,0.9583333333333334,0.9787234042553191,24.0
Potato___Late_blight,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Potato___healthy,0.9047619047619048,1.0,0.95,19.0
Raspberry___healthy,1.0,1.0,1.0,24.0
Soybean___healthy,1.0,1.0,1.0,24.0
Squash___Powdery_mildew,1.0,1.0,1.0,24.0
Strawberry___Leaf_scorch,1.0,0.9583333333333334,0.9787234042553191,24.0
Strawberry___healthy,1.0,1.0,1.0,24.0
Tomato___Bacterial_spot,0.8888888888888888,1.0,0.9411764705882353,24.0
Tomato___Early_blight,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Tomato___Late_blight,0.96,1.0,0.9795918367346939,24.0
Tomato___Leaf_Mold,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Tomato___Septoria_leaf_spot,1.0,0.875,0.9333333333333333,24.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8,1.0,0.8888888888888888,24.0
Tomato___Target_Spot,0.8695652173913043,0.8333333333333334,0.851063829787234,24.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,24.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,24.0
Tomato___healthy,1.0,0.7916666666666666,0.8837209302325582,24.0
accuracy,0.9713340683572216,0.9713340683572216,0.9713340683572216,0.9713340683572216
macro avg,0.9737483200755511,0.9714912280701755,0.9712613024509942,907.0
weighted avg,0.9741286200497167,0.9713340683572216,0.9713785091899745,907.0
